"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"regionVal[1]",1.76773097250933e-06,9.73711874579224e-07,6.914625e-08,1.06e-06,1.693e-06,2.397e-06,3.759025e-06,1,1
"regionVal[2]",9.97118456663867e-07,9.06494115772175e-07,-7.7671e-07,4.03775e-07,9.682e-07,1.61e-06,2.843e-06,1,1
"regionVal[3]",1.97463583453333e-06,9.97337619102367e-07,2.661875e-07,1.251e-06,1.898e-06,2.62125e-06,4.00905e-06,1,1
"regionVal[4]",1.09490548762e-06,1.25141663353615e-06,-1.6971e-06,3.8005e-07,1.0985e-06,1.855e-06,3.41615e-06,1,1
"regionVal[5]",1.23188712784427e-06,1.35544343229032e-06,-1.697e-06,4.93975e-07,1.211e-06,1.99325e-06,3.988e-06,1,1
"regionVal[6]",1.320733092228e-06,1.24613321330553e-06,-1.190025e-06,5.5305e-07,1.282e-06,2.05725e-06,3.822e-06,1,1
"countryVal[1]",1.41162935053333e-06,1.23738942324064e-06,-1.04705e-06,6.20375e-07,1.359e-06,2.21225e-06,3.817e-06,1,1
"countryVal[2]",8.40281717326667e-07,1.21458424050318e-06,-1.632e-06,8.46025e-08,8.412e-07,1.644e-06,3.276025e-06,1,1
"countryVal[3]",1.77581878314267e-06,1.25455519524696e-06,-5.974475e-07,9.178e-07,1.718e-06,2.589e-06,4.24205e-06,1,1
"countryVal[4]",9.65157432773333e-07,1.23692737574216e-06,-1.46505e-06,1.68e-07,9.3505e-07,1.787e-06,3.505025e-06,1,1
"countryVal[5]",7.97313814329333e-07,1.06814299477448e-06,-1.342e-06,9.75225e-08,8.045e-07,1.515e-06,2.903e-06,1,1
"countryVal[6]",3.01998373304667e-06,1.5230960950774e-06,4.84185e-07,1.919e-06,2.9165e-06,3.956e-06,6.27205e-06,1,1
"countryVal[7]",1.58019900394859e-06,1.2617270368e-06,-8.621225e-07,7.47e-07,1.5165e-06,2.415e-06,4.064e-06,1,1
"countryVal[8]",1.52109673050667e-06,1.14629557848368e-06,-6.677325e-07,7.527e-07,1.473e-06,2.26425e-06,3.789e-06,1,1
"countryVal[9]",1.82055155787333e-06,1.21982877399681e-06,-4.136575e-07,9.814e-07,1.759e-06,2.621e-06,4.300025e-06,1,1
"countryVal[10]",9.24474503394e-07,1.25465787660234e-06,-1.53905e-06,1.22175e-07,8.961e-07,1.745e-06,3.529e-06,1,1
"countryVal[11]",2.32200794617733e-06,1.36667076337331e-06,-2.690175e-08,1.30875e-06,2.192e-06,3.208e-06,5.304e-06,1,1
"countryVal[12]",2.20700063670667e-06,1.32645007672891e-06,-7.2621e-08,1.231e-06,2.092e-06,3.067e-06,5.120025e-06,1,1
"countryVal[13]",7.66531011188e-07,1.12995242980074e-06,-1.523025e-06,3.33825e-08,7.746e-07,1.51425e-06,2.99805e-06,1,1
"countryVal[14]",2.27206226512667e-06,1.35074149612663e-06,-5.601875e-08,1.264e-06,2.147e-06,3.14625e-06,5.2691e-06,1,1
"countryVal[15]",1.74658608824e-06,1.3006348557245e-06,-7.567675e-07,8.861e-07,1.704e-06,2.571e-06,4.296e-06,1,1
"countryVal[16]",1.76903725688e-06,1.25528761646505e-06,-6.458625e-07,9.279e-07,1.71e-06,2.573e-06,4.259025e-06,1,1
"countryVal[17]",1.71307052012e-06,1.32831705963979e-06,-9.23305e-07,8.53e-07,1.68e-06,2.549e-06,4.312025e-06,1,1
"countryVal[18]",8.858744642672e-07,1.22281340170505e-06,-1.558025e-06,1.06725e-07,8.5225e-07,1.689e-06,3.394e-06,1,1
"countryVal[19]",8.11788747219133e-07,1.29199726971432e-06,-1.948175e-06,2.766e-08,8.2205e-07,1.62725e-06,3.297e-06,1,1
"countryVal[20]",2.64544206335333e-06,1.3766112251117e-06,3.129825e-07,1.633e-06,2.537e-06,3.576e-06,5.579025e-06,1,1
"countryVal[21]",1.56137484544667e-06,1.21492193914714e-06,-7.895025e-07,7.4065e-07,1.508e-06,2.342e-06,3.918025e-06,1,1
"countryVal[22]",1.61306721060667e-06,1.26611504198722e-06,-8.52915e-07,7.73625e-07,1.5735e-06,2.414e-06,4.051e-06,1,1
"countryVal[23]",1.71490893768933e-06,1.29365833076249e-06,-8.082875e-07,8.71675e-07,1.6665e-06,2.538e-06,4.196e-06,1,1
