"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"regionVal[1]",1.29270386067733e-06,7.15027861390448e-07,-5.14095e-09,8.062e-07,1.261e-06,1.74625e-06,2.790025e-06,1,1
"regionVal[2]",1.34644418853333e-06,7.21141177551985e-07,9.284425e-08,8.4485e-07,1.306e-06,1.818e-06,2.818025e-06,1,1
"regionVal[3]",1.39646805398667e-06,6.75109558454953e-07,1.741925e-07,9.27775e-07,1.381e-06,1.817e-06,2.78505e-06,1,1
"regionVal[4]",1.26423961797333e-06,8.92586840455997e-07,-4.1841e-07,7.146e-07,1.222e-06,1.776e-06,3.16105e-06,1,1
"regionVal[5]",1.29843574130733e-06,9.26012370750608e-07,-3.448175e-07,7.476e-07,1.254e-06,1.802e-06,3.300025e-06,1,1
"regionVal[6]",1.14628753149333e-06,8.71992154249568e-07,-6.146025e-07,6.225e-07,1.141e-06,1.673e-06,2.845e-06,1,1
"countryVal[1]",1.10597863744667e-06,1.00899454518263e-06,-9.763175e-07,4.98675e-07,1.111e-06,1.733e-06,3.135025e-06,1,1
"countryVal[2]",1.19702846742e-06,1.05696522789186e-06,-1.022025e-06,5.72975e-07,1.187e-06,1.856e-06,3.299e-06,1,1
"countryVal[3]",1.12321256222e-06,9.38895010235734e-07,-8.628025e-07,5.70675e-07,1.172e-06,1.732e-06,2.91505e-06,1,1
"countryVal[4]",1.27589055384067e-06,1.01439856375991e-06,-8.001875e-07,6.5615e-07,1.25e-06,1.919e-06,3.315025e-06,1,1
"countryVal[5]",1.77698373080667e-06,1.0443034771365e-06,5.22077500000003e-09,1.05275e-06,1.664e-06,2.399e-06,4.15605e-06,1,1
"countryVal[6]",2.0603708388e-06,1.09737775060391e-06,2.76875e-07,1.281e-06,1.891e-06,2.699e-06,4.607025e-06,1,1
"countryVal[7]",2.00860721706667e-06,1.23034569956572e-06,8.7706e-08,1.132e-06,1.804e-06,2.719e-06,4.864e-06,1,1
"countryVal[8]",1.13820979586667e-06,9.48794875818294e-07,-7.721575e-07,5.584e-07,1.133e-06,1.741e-06,3.038e-06,1,1
"countryVal[9]",1.288768583146e-06,9.58225051190528e-07,-5.6112e-07,6.878e-07,1.262e-06,1.86725e-06,3.289e-06,1,1
"countryVal[10]",1.13630170482467e-06,1.00749062622796e-06,-1.02305e-06,5.45e-07,1.149e-06,1.785e-06,3.062025e-06,1,1
"countryVal[11]",1.08658463821333e-06,9.83926441701818e-07,-9.87735e-07,5.04775e-07,1.101e-06,1.711e-06,3.025e-06,1,1
"countryVal[12]",1.4172071615728e-06,1.02443908130733e-06,-4.8283e-07,7.686e-07,1.356e-06,2.008e-06,3.628e-06,1,1
"countryVal[13]",1.0845215999584e-06,1.03284215837102e-06,-1.061e-06,4.6235e-07,1.097e-06,1.744e-06,3.078125e-06,1,1
"countryVal[14]",1.1054927749e-06,1.00175224172637e-06,-9.7214e-07,5.0835e-07,1.107e-06,1.729e-06,3.131025e-06,1,1
"countryVal[15]",1.12964850503733e-06,9.82630165832364e-07,-9.1396e-07,5.5185e-07,1.165e-06,1.752e-06,3.007025e-06,1,1
"countryVal[16]",1.80086626396e-06,1.01727533784991e-06,3.625325e-08,1.115e-06,1.704e-06,2.377e-06,4.099e-06,1,1
"countryVal[17]",2.5030419044e-06,1.5011561391493e-06,4.0568e-07,1.431e-06,2.154e-06,3.32025e-06,6.153025e-06,1,1
